"IPAddress","LinkLayerAddress","State","InterfaceAlias"
"ff02::1:fff1:243e","33-33-FF-F1-24-3E","Permanent","Ethernet 3"
"ff02::1:3","33-33-00-01-00-03","Permanent","Ethernet 3"
"ff02::1:2","33-33-00-01-00-02","Permanent","Ethernet 3"
"ff02::fb","33-33-00-00-00-FB","Permanent","Ethernet 3"
"ff02::16","33-33-00-00-00-16","Permanent","Ethernet 3"
"ff02::2","33-33-00-00-00-02","Permanent","Ethernet 3"
"ff02::1","33-33-00-00-00-01","Permanent","Ethernet 3"
"fe80::862a:fdff:fe96:7f12","00-00-00-00-00-00","Unreachable","Ethernet 3"
"ff02::1:ff93:5641","33-33-FF-93-56-41","Permanent","Ethernet 2"
"ff02::1:3","33-33-00-01-00-03","Permanent","Ethernet 2"
"ff02::1:2","33-33-00-01-00-02","Permanent","Ethernet 2"
"ff02::fb","33-33-00-00-00-FB","Permanent","Ethernet 2"
"ff02::16","33-33-00-00-00-16","Permanent","Ethernet 2"
"ff02::2","33-33-00-00-00-02","Permanent","Ethernet 2"
"ff02::1","33-33-00-00-00-01","Permanent","Ethernet 2"
"fe80::862a:fdff:fe96:7f12","00-00-00-00-00-00","Unreachable","Ethernet 2"
"ff02::1:ff00:2","","Permanent","Hetzner"
"ff02::1:3","","Permanent","Hetzner"
"ff02::fb","","Permanent","Hetzner"
"ff02::16","","Permanent","Hetzner"
"ff02::c","","Permanent","Hetzner"
"fec0:0:0:ffff::3","","Stale","Hetzner"
"fec0:0:0:ffff::2","","Stale","Hetzner"
"fec0:0:0:ffff::1","","Stale","Hetzner"
"2a0a:ef40:ffff:206::5","","Stale","Hetzner"
"2a0a:ef40:ffff:206::4","","Stale","Hetzner"
"2a0a:ef40:ffff:206::3","","Stale","Hetzner"
"2a0a:ef40:ffff:206::2","","Stale","Hetzner"
"2a06:98c1:3102::6812:2929","","Unreachable","Hetzner"
"2a06:98c1:58::175","","Unreachable","Hetzner"
"2a04:4e42:6b::763","","Unreachable","Hetzner"
"2a04:4e42:6b::762","","Unreachable","Hetzner"
"2a04:4e42:6b::760","","Unreachable","Hetzner"
"2a04:4e42:6b::684","","Stale","Hetzner"
"2a04:4e42:6b::644","","Unreachable","Hetzner"
"2a04:4e42:6b::347","","Unreachable","Hetzner"
"2a03:90c0:888c::888c","","Stale","Hetzner"
"2a03:2880:f013:d:face:b00c:0:3","","Unreachable","Hetzner"
"2a03:2880:f00a:e:face:b00c:0:3","","Unreachable","Hetzner"
"2a02:26f0:e80:197::2c1a","","Stale","Hetzner"
"2a02:26f0:e80:192::2c1a","","Stale","Hetzner"
"2a02:26f0:e80:189::4106","","Stale","Hetzner"
"2a02:26f0:e80:187::4106","","Stale","Hetzner"
"2a00:1450:4026:805::2016","","Stale","Hetzner"
"2a00:1450:4026:805::200e","","Unreachable","Hetzner"
"2a00:1450:4026:805::200a","","Unreachable","Hetzner"
"2a00:1450:4026:804::2016","","Stale","Hetzner"
"2a00:1450:4026:804::200e","","Unreachable","Hetzner"
"2a00:1450:4026:804::200a","","Unreachable","Hetzner"
"2a00:1450:4026:804::2004","","Unreachable","Hetzner"
"2a00:1450:4026:804::2003","","Unreachable","Hetzner"
"2a00:1450:4026:803::2016","","Unreachable","Hetzner"
"2a00:1450:4026:803::200e","","Unreachable","Hetzner"
"2a00:1450:4026:803::200a","","Unreachable","Hetzner"
"2a00:1450:4026:803::2008","","Unreachable","Hetzner"
"2a00:1450:4026:803::2003","","Unreachable","Hetzner"
"2a00:1450:4026:803::2002","","Unreachable","Hetzner"
"2a00:1450:4026:802::2016","","Unreachable","Hetzner"
"2a00:1450:4026:802::200e","","Unreachable","Hetzner"
"2a00:1450:4026:802::200a","","Unreachable","Hetzner"
"2a00:1450:4026:802::2004","","Unreachable","Hetzner"
"2a00:1450:4026:802::2001","","Unreachable","Hetzner"
"2a00:1450:4026:800::2016","","Unreachable","Hetzner"
"2a00:1450:4026:800::2014","","Unreachable","Hetzner"
"2a00:1450:4026:800::200e","","Unreachable","Hetzner"
