"LocalAddress","LocalPort","RemoteAddress","RemotePort","State"
"::","49672","::","0","Listen"
"::1","49669","::","0","Listen"
"::","49668","::","0","Listen"
"::","49667","::","0","Listen"
"::","49666","::","0","Listen"
"::","49665","::","0","Listen"
"::","49664","::","0","Listen"
"::","7680","::","0","Listen"
"::","5357","::","0","Listen"
"::","445","::","0","Listen"
"::","135","::","0","Listen"
"0.0.0.0","64022","0.0.0.0","0","Bound"
"0.0.0.0","64017","0.0.0.0","0","Bound"
"0.0.0.0","64016","0.0.0.0","0","Bound"
"0.0.0.0","64015","0.0.0.0","0","Bound"
"0.0.0.0","64014","0.0.0.0","0","Bound"
"0.0.0.0","64013","0.0.0.0","0","Bound"
"0.0.0.0","64012","0.0.0.0","0","Bound"
"0.0.0.0","60133","0.0.0.0","0","Bound"
"0.0.0.0","57395","0.0.0.0","0","Bound"
"0.0.0.0","57316","0.0.0.0","0","Bound"
"0.0.0.0","54440","0.0.0.0","0","Bound"
"0.0.0.0","54160","0.0.0.0","0","Bound"
"0.0.0.0","54159","0.0.0.0","0","Bound"
"0.0.0.0","54158","0.0.0.0","0","Bound"
"0.0.0.0","54157","0.0.0.0","0","Bound"
"0.0.0.0","54156","0.0.0.0","0","Bound"
"0.0.0.0","52167","0.0.0.0","0","Bound"
"0.0.0.0","52166","0.0.0.0","0","Bound"
"0.0.0.0","52165","0.0.0.0","0","Bound"
"0.0.0.0","52164","0.0.0.0","0","Bound"
"0.0.0.0","52140","0.0.0.0","0","Bound"
"0.0.0.0","50595","0.0.0.0","0","Bound"
"0.0.0.0","49715","0.0.0.0","0","Bound"
"0.0.0.0","49488","0.0.0.0","0","Bound"
"0.0.0.0","49423","0.0.0.0","0","Bound"
"10.66.66.2","65526","140.82.121.5","443","FinWait1"
"0.0.0.0","64843","0.0.0.0","0","Listen"
"10.66.66.2","64043","13.69.239.79","443","TimeWait"
"10.66.66.2","64017","2.17.190.73","80","Established"
"10.66.66.2","64013","52.97.176.34","443","Established"
"10.66.66.2","64012","104.126.37.145","443","CloseWait"
"10.66.66.2","62377","13.69.239.79","443","TimeWait"
"10.66.66.2","62075","20.42.73.27","443","TimeWait"
"10.66.66.2","60133","34.158.1.133","4070","Established"
"0.0.0.0","57621","0.0.0.0","0","Listen"
"10.66.66.2","57395","20.42.73.27","443","Established"
"10.66.66.2","57316","35.186.224.34","443","Established"
"10.66.66.2","57307","13.107.213.45","443","TimeWait"
"127.0.0.1","56989","0.0.0.0","0","Listen"
"127.0.0.1","55989","0.0.0.0","0","Listen"
"10.66.66.2","55535","20.42.73.27","443","TimeWait"
"10.66.66.2","54511","13.69.239.79","443","TimeWait"
"10.66.66.2","54440","162.159.130.234","443","Established"
"10.66.66.2","54121","13.69.239.79","443","TimeWait"
"10.66.66.2","53593","140.82.121.5","443","FinWait1"
"10.66.66.2","52166","208.103.161.1","443","Established"
"10.66.66.2","52165","13.107.213.254","443","CloseWait"
"10.66.66.2","52140","208.103.161.1","443","Established"
"10.66.66.2","51637","13.107.213.45","443","TimeWait"
"10.66.66.2","51176","13.69.239.79","443","TimeWait"
"10.66.66.2","50656","20.42.73.27","443","TimeWait"
"10.66.66.2","50595","64.233.162.188","5228","Established"
"10.66.66.2","50326","20.42.73.27","443","TimeWait"
"10.66.66.2","49715","98.66.133.184","443","Established"
"0.0.0.0","49672","0.0.0.0","0","Listen"
"0.0.0.0","49668","0.0.0.0","0","Listen"
"0.0.0.0","49667","0.0.0.0","0","Listen"
"0.0.0.0","49666","0.0.0.0","0","Listen"
"0.0.0.0","49665","0.0.0.0","0","Listen"
"0.0.0.0","49664","0.0.0.0","0","Listen"
"10.66.66.2","49488","35.186.224.34","443","Established"
"10.66.66.2","49423","173.194.222.188","5228","Established"
"127.0.0.1","7768","0.0.0.0","0","Listen"
"127.0.0.1","6463","0.0.0.0","0","Listen"
"0.0.0.0","5040","0.0.0.0","0","Listen"
"192.168.56.1","139","0.0.0.0","0","Listen"
"192.168.33.1","139","0.0.0.0","0","Listen"
"192.168.0.253","139","0.0.0.0","0","Listen"
"10.66.66.2","139","0.0.0.0","0","Listen"
"0.0.0.0","135","0.0.0.0","0","Listen"
