"Name","Id","CPU","Memory","Path"
"ACCStd","1988","1.3125",,
"ACCSvc","4128",,,
"aesm_service","6588",,,
"ApplicationFrameHost","10180","0.0625",,"C:\WINDOWS\system32\ApplicationFrameHost.exe"
"AppVShNotify","14700","0",,"C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe"
"audiodg","3588","41.78125",,
"AutoBootInstallService","4564",,,
"backgroundTaskHost","8092","0",,"C:\WINDOWS\system32\backgroundTaskHost.exe"
"Bridge_Service","4172",,,
"chrome","656","0.4375",,"C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","2360","1.15625",,"C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","4640","0.0625",,"C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","7100","70.34375",,"C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","8144","4.375",,"C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","8268","0.03125",,"C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","8324","36.1875",,"C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","8476","0.34375",,"C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","10356","0.46875",,"C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","12832","3.90625",,"C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","12976","88.46875",,"C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","14492","9.046875",,"C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","14612","0.140625",,"C:\Program Files\Google\Chrome\Application\chrome.exe"
"chrome","17100","0.09375",,"C:\Program Files\Google\Chrome\Application\chrome.exe"
"CHXSmartScreen","11076","0.109375",,"C:\Windows\SystemApps\Microsoft.Windows.AppRep.ChxApp_cw5n1h2txyewy\CHXSmartScreen.exe"
"Code","2432","0",,"C:\Users\jhg56\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","4788","1.078125",,"C:\Users\jhg56\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","4796","1.171875",,"C:\Users\jhg56\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","5944","0.84375",,"C:\Users\jhg56\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","8236","3.265625",,"C:\Users\jhg56\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","8480","0.140625",,"C:\Users\jhg56\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","9416","120.234375",,"C:\Users\jhg56\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","9452","22.953125",,"C:\Users\jhg56\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","11504","179.6875",,"C:\Users\jhg56\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","12964","16.0625",,"C:\Users\jhg56\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","16864","0.390625",,"C:\Users\jhg56\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"conhost","4004",,,
"conhost","6004","0",,"C:\WINDOWS\system32\conhost.exe"
"conhost","11532","0",,"C:\WINDOWS\system32\conhost.exe"
"conhost","12436","0.03125",,"C:\WINDOWS\system32\conhost.exe"
"conhost","12868","0",,"C:\WINDOWS\system32\conhost.exe"
"csrss","848",,,
"csrss","944",,,
"ctfmon","11252","3.84375",,
"dasHost","5176",,,
"dasHost","6212",,,
"Discord","10856","72.125",,"C:\Users\jhg56\AppData\Local\Discord\app-1.0.9223\Discord.exe"
"Discord","10888","1.3125",,"C:\Users\jhg56\AppData\Local\Discord\app-1.0.9223\Discord.exe"
"Discord","12448","7.640625",,"C:\Users\jhg56\AppData\Local\Discord\app-1.0.9223\Discord.exe"
"Discord","14484","0.109375",,"C:\Users\jhg56\AppData\Local\Discord\app-1.0.9223\Discord.exe"
"Discord","14532","0",,"C:\Users\jhg56\AppData\Local\Discord\app-1.0.9223\Discord.exe"
"Discord","14564","483.125",,"C:\Users\jhg56\AppData\Local\Discord\app-1.0.9223\Discord.exe"
"dllhost","1660","0.015625",,"C:\WINDOWS\system32\DllHost.exe"
"dllhost","8920","0.203125",,"C:\WINDOWS\system32\DllHost.exe"
"dllhost","10560","0.1875",,"C:\WINDOWS\system32\DllHost.exe"
"dwm","1532",,,
"ELANFPService","4136",,,
"ePowerButton_NB","2596","0.109375",,"C:\Program Files\Acer\Quick Access Service\ePowerButton_NB.exe"
"esif_uf","4196",,,
"explorer","8872","26.75",,"C:\WINDOWS\Explorer.EXE"
"FESearchHost","12880","3.1875",,"C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\FESearchHost.exe"
"fontdrvhost","1060",,,
"fontdrvhost","1460",,,
"gamingservices","7484",,,
"gamingservicesnet","7488",,,
"GTFidoService","4144",,,
"HostAppServiceUpdater","12320","0.140625",,"C:\Users\jhg56\AppData\Local\Host App Service\Engine\HostAppServiceUpdater.exe"
"Idle","0",,,
"igfxCUIServiceN","2372",,,
"igfxEMN","8928","0.25",,"C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_500d7f066e4084ac\igfxEMN.exe"
"igfxextN","13636",,,
"Intel_PIE_Service","5152",,,
"IntelCpHDCPSvc","2012",,,
"jhi_service","4248",,,
"LMS","4504",,,
"lsass","520",,,
"Memory Compression","2592",,,
"MoNotificationUx","12984","0",,"C:\WINDOWS\uus\AMD64\MoNotificationUx.exe"
"MoUsoCoreWorker","13124",,,
"MpDefenderCoreService","4368",,,
"MsMpEng","4572",,,
"NisSrv","8020",,,
"Notion","5792","15.828125",,"C:\Users\jhg56\AppData\Local\Programs\Notion\Notion.exe"
"Notion","6184","28.296875",,"C:\Users\jhg56\AppData\Local\Programs\Notion\Notion.exe"
"Notion","8168","27.453125",,"C:\Users\jhg56\AppData\Local\Programs\Notion\Notion.exe"
"Notion","9732","0.671875",,"C:\Users\jhg56\AppData\Local\Programs\Notion\Notion.exe"
"Notion","9756","31.828125",,"C:\Users\jhg56\AppData\Local\Programs\Notion\Notion.exe"
"Notion","10776","0.46875",,"C:\Users\jhg56\AppData\Local\Programs\Notion\Notion.exe"
